Airportname,Year,month,value
Murmansk,2018,7,126.54
Nadym,2018,7,30.46
Nizhnevartovsk,2018,7,148.8
Nizhny Novgorod (Strigino),2018,7,67.97
Nikolaevsk-on-Amur,2018,7,2.1
Novokuznetsk,2018,7,87.2
Novosibirsk (Tolmachyovo),2018,7,1919.1
New Urengoy,2018,7,256.7
Nogliki,2018,7,0.0
Norilsk,2018,7,165.56
Noyabrsk,2018,7,46.47
Omolon,2018,7,0.0
Omsk (central),2018,7,254.0
Omsukçan,2018,7,33.6
Orenburg (central),2018,7,96.09
Okha,2018,7,0.0
Okhotsk,2018,7,84.12
Perm (Bolshoye Savino),2018,7,172.51
Petropavlovsk (Yelizovo),2018,7,1059.23
Pauline Osipenko,2018,7,0.0
Polar,2018,7,41.13
Samara (Kurumoch),2018,7,224.63
Saint Petersburg (Pulkovo),2018,7,2108.0
Saratov (central),2018,7,31.7
Sochi,2018,7,208.83
Stavropol (Shpakovskoye),2018,7,60.0
Strezhevoy,2018,7,2.1
Surgut,2018,7,285.29
Syktyvkar,2018,7,61.02
Tiksi,2018,7,38.67
Tomsk (Bogashevo),2018,7,136.8
Ust-Tsilma,2018,7,0.17
Tyumen (Roschino),2018,7,327.3
Ufa,2018,7,345.13
Khabarovsk (MVL),2018,7,4.01
Khabarovsk (New),2018,7,1585.75
Khanty-Mansiysk,2018,7,36.27
Khatanga,2018,7,0.0
Herpuchi,2018,7,0.11
Chelyabinsk (Balandino),2018,7,261.6
Reads (tub),2018,7,237.15
Çumikan,2018,7,2.31
Shakhtars'k,2018,7,0.0
Ekimçan,2018,7,0.38
Yuzhno-(Khomutovo),2018,7,1104.6
Yakutsk,2018,7,770.84
Yamburg,2018,7,0.01
Yaroslavl (Tunoshna),2018,7,40.18
Abakan,2017,7,82.59
Anapa (Vitjazevo),2017,7,76.06
Arkhangelsk (Talagy),2017,7,119.0
Astrakhan (Narimanovo),2017,7,62.38
Novy Urengoy,2017,7,10.4
Blagoveshchensk,2017,7,388.5
Bugulma,2017,7,2.84
Vladivostok (Knevichi),2017,7,1899.17
Volgograd (Gumrak),2017,7,67.0
Vorkuta,2017,7,6.63
Voronezh (Chertovitskoe),2017,7,13.88
Ekaterinburg (Koltsovo),2017,7,1703.61
Ivanovo (Yuzhny),2017,7,101.2
Irkutsk,2017,7,710.8
Kazan,2017,7,0.0
Kemerovo,2017,7,205.71
Kogalym,2017,7,31.51
Komsomolsk-on-Amur,2017,7,103.9
Krasnodar (Paszkowski),2017,7,484.1
Krasnoyarsk (Emelyanovo),2017,7,1144.13
red,2017,7,0.08
Zabaykalsk,2017,7,74.1
Magadan (Falcon),2017,7,785.0
Mineral water,2017,7,120.61
Peaceful,2017,7,779.41
Moscow (Vnukovo),2017,7,4994.15
Moscow (Domodedovo),2017,7,10039.05
Moscow (Sheremetyevo),2017,7,25141.9
Murmansk,2017,7,138.5
Nadym,2017,7,33.35
Nizhnevartovsk,2017,7,165.7
Nizhny Novgorod (Strigino),2017,7,74.79
Nikolaevsk-on-Amur,2017,7,2.9
Novokuznetsk,2017,7,81.9
Novosibirsk (Tolmachyovo),2017,7,1696.0
New Urengoy,2017,7,317.9
Norilsk,2017,7,110.13
Noyabrsk,2017,7,51.3
Omsk (central),2017,7,262.0
Orenburg (central),2017,7,101.49
Perm (Bolshoye Savino),2017,7,159.1
Petropavlovsk (Yelizovo),2017,7,1254.01
Polar,2017,7,37.1
Rostov-on-Don,2017,7,400.53
Saint Petersburg (Pulkovo),2017,7,2578.0
Saratov (central),2017,7,42.1
Sochi,2017,7,241.38
Stavropol (Shpakovskoye),2017,7,67.0
Surgut,2017,7,339.3
Syktyvkar,2017,7,65.02
Tiksi,2017,7,42.58
Tomsk (Bogashevo),2017,7,144.25
Tyumen (Roschino),2017,7,318.7
Ufa,2017,7,357.16
Khabarovsk (MVL),2017,7,8.25
Khabarovsk (New),2017,7,1932.74
Khanty-Mansiysk,2017,7,43.22
Khatanga,2017,7,154.4
Chelyabinsk (Balandino),2017,7,231.85
Reads (tub),2017,7,268.51
Yuzhno-(Khomutovo),2017,7,909.28
Yakutsk,2017,7,831.89
Yamburg,2017,7,0.36
Yaroslavl (Tunoshna),2017,7,221.15
Abakan,2016,7,64.31
Anapa (Vitjazevo),2016,7,66.89
Arkhangelsk (Talagy),2016,7,126.5
Astrakhan (Narimanovo),2016,7,72.11
Novy Urengoy,2016,7,0.0
Blagoveshchensk,2016,7,246.3
Bugulma,2016,7,1.6
Vladivostok (Knevichi),2016,7,1856.2
Volgograd (Gumrak),2016,7,64.0
Vorkuta,2016,7,32.03
Voronezh (Chertovitskoe),2016,7,10.67
Ekaterinburg (Koltsovo),2016,7,1441.29
Ivanovo (Yuzhny),2016,7,32.8
Irkutsk,2016,7,685.39
Kazan,2016,7,175.27
Kemerovo,2016,7,307.28
Kogalym,2016,7,4.0
Komsomolsk-on-Amur,2016,7,168.5
Krasnodar (Paszkowski),2016,7,481.43
Krasnoyarsk (Emelyanovo),2016,7,918.96
red,2016,7,2.46
Zabaykalsk,2016,7,118.26
Magadan (Falcon),2016,7,635.0
Mineral water,2016,7,264.0
Peaceful,2016,7,267.95
Moscow (Vnukovo),2016,7,3494.38
Moscow (Domodedovo),2016,7,9508.31
Moscow (Sheremetyevo),2016,7,18018.1
Murmansk,2016,7,121.1
Nadym,2016,7,33.45
Nizhnevartovsk,2016,7,172.1
Nizhny Novgorod (Strigino),2016,7,102.47
Nikolaevsk-on-Amur,2016,7,6.47
Novokuznetsk,2016,7,69.6
Novosibirsk (Tolmachyovo),2016,7,1330.7
New Urengoy,2016,7,298.3
Norilsk,2016,7,976.71
Noyabrsk,2016,7,45.19
Omsk (central),2016,7,255.0
Orenburg (central),2016,7,71.69
Perm (Bolshoye Savino),2016,7,146.51
Petropavlovsk (Yelizovo),2016,7,1123.27
Polar,2016,7,50.77
Rostov-on-Don,2016,7,546.69
Saint Petersburg (Pulkovo),2016,7,2280.0
Saratov (central),2016,7,36.9
Sochi,2016,7,364.33
Stavropol (Shpakovskoye),2016,7,62.0
Surgut,2016,7,247.3
Syktyvkar,2016,7,48.66
Tiksi,2016,7,39.0
Tomsk (Bogashevo),2016,7,150.31
Tyumen (Roschino),2016,7,278.5
Ufa,2016,7,277.53
Khabarovsk (MVL),2016,7,2.6
Khabarovsk (New),2016,7,1742.43
Khanty-Mansiysk,2016,7,42.24
Khatanga,2016,7,108.88
Chelyabinsk (Balandino),2016,7,215.46
Reads (tub),2016,7,227.09
Yuzhno-(Khomutovo),2016,7,970.06
Yakutsk,2016,7,1063.01
Yamburg,2016,7,0.05
Yaroslavl (Tunoshna),2016,7,257.13
Abakan,2015,7,55.83
Anapa (Vitjazevo),2015,7,87.38
Arkhangelsk (Talagy),2015,7,132.0
Astrakhan (Narimanovo),2015,7,75.39
Novy Urengoy,2015,7,14.1
Blagoveshchensk,2015,7,216.9
Bugulma,2015,7,0.79
Vladivostok (Knevichi),2015,7,2073.9
Volgograd (Gumrak),2015,7,72.0
Vorkuta,2015,7,51.33
Voronezh (Chertovitskoe),2015,7,7.01
Ekaterinburg (Koltsovo),2015,7,1446.0
Ivanovo (Yuzhny),2015,7,173.85
Irkutsk,2015,7,644.05
Kazan,2015,7,263.65
Kemerovo,2015,7,318.07
Kogalym,2015,7,2.0
Komsomolsk-on-Amur,2015,7,172.7
Krasnodar (Paszkowski),2015,7,475.06
Krasnoyarsk (Emelyanovo),2015,7,1109.92
red,2015,7,5.69
Zabaykalsk,2015,7,129.89
Magadan (Falcon),2015,7,632.0
Mineral water,2015,7,166.1
Peaceful,2015,7,913.96
Moscow (Vnukovo),2015,7,3491.09
Moscow (Domodedovo),2015,7,11448.59
Moscow (Sheremetyevo),2015,7,15335.3
Murmansk,2015,7,108.8
Nadym,2015,7,30.75
Nizhnevartovsk,2015,7,225.2
Nizhny Novgorod (Strigino),2015,7,92.74
Nikolaevsk-on-Amur,2015,7,6.18
Novokuznetsk,2015,7,79.0
Novosibirsk (Tolmachyovo),2015,7,1723.8
New Urengoy,2015,7,420.3
Norilsk,2015,7,1312.05
Noyabrsk,2015,7,47.88
Omsk (central),2015,7,254.0
Orenburg (central),2015,7,89.53
Perm (Bolshoye Savino),2015,7,174.51
Petropavlovsk (Yelizovo),2015,7,1235.26
Polar,2015,7,57.28
Rostov-on-Don,2015,7,394.7
Saint Petersburg (Pulkovo),2015,7,1992.0
Saratov (central),2015,7,49.4
Sochi,2015,7,169.58
Stavropol (Shpakovskoye),2015,7,59.0
Surgut,2015,7,311.1
Syktyvkar,2015,7,53.28
Tiksi,2015,7,32.5
Tomsk (Bogashevo),2015,7,136.21
Tyumen (Roschino),2015,7,299.3
Ufa,2015,7,245.24
Khabarovsk (MVL),2015,7,11.03
Khabarovsk (New),2015,7,1920.87
Khanty-Mansiysk,2015,7,56.93
Khatanga,2015,7,142.84
Chelyabinsk (Balandino),2015,7,201.86
Reads (tub),2015,7,210.65
Yuzhno-(Khomutovo),2015,7,966.93
Yakutsk,2015,7,994.82
Yamburg,2015,7,0.61
Yaroslavl (Tunoshna),2015,7,715.14
Abakan,2014,7,67.5
Anapa (Vitjazevo),2014,7,72.89
Arkhangelsk (Talagy),2014,7,158.8
Astrakhan (Narimanovo),2014,7,82.25
Novy Urengoy,2014,7,17.7
Blagoveshchensk,2014,7,225.2
Bugulma,2014,7,2.66
Vladivostok (Knevichi),2014,7,2134.4
Volgograd (Gumrak),2014,7,80.0
Vorkuta,2014,7,46.21
Voronezh (Chertovitskoe),2014,7,10.1
Ekaterinburg (Koltsovo),2014,7,1731.76
Ivanovo (Yuzhny),2014,7,154.4
Irkutsk,2014,7,819.33
Kazan,2014,7,233.6
Kemerovo,2014,7,393.14
Kogalym,2014,7,15.4
Komsomolsk-on-Amur,2014,7,86.29
Krasnodar (Paszkowski),2014,7,582.64
Krasnoyarsk (Emelyanovo),2014,7,1205.06
red,2014,7,15.44
Zabaykalsk,2014,7,102.73
Magadan (Falcon),2014,7,678.0
Mineral water,2014,7,124.5
Peaceful,2014,7,1102.66
Moscow (Vnukovo),2014,7,3159.81
Moscow (Domodedovo),2014,7,13386.74
Moscow (Sheremetyevo),2014,7,14264.1
Murmansk,2014,7,150.7
Nadym,2014,7,38.71
Nizhnevartovsk,2014,7,362.0
Nizhny Novgorod (Strigino),2014,7,83.3
Nikolaevsk-on-Amur,2014,7,4.77
Novokuznetsk,2014,7,103.0
Novosibirsk (Tolmachyovo),2014,7,2167.9
New Urengoy,2014,7,337.5
Norilsk,2014,7,986.21
Noyabrsk,2014,7,62.39
Omsk (central),2014,7,255.0
Orenburg (central),2014,7,99.49
Perm (Bolshoye Savino),2014,7,206.94
Petropavlovsk (Yelizovo),2014,7,1195.66
Polar,2014,7,20.71
Rostov-on-Don,2014,7,452.7
Saint Petersburg (Pulkovo),2014,7,2047.0
Saratov (central),2014,7,46.4
Sochi,2014,7,162.56
Stavropol (Shpakovskoye),2014,7,71.0
Surgut,2014,7,368.0
Syktyvkar,2014,7,69.27
Tiksi,2014,7,18.0
Tomsk (Bogashevo),2014,7,147.0
Tyumen (Roschino),2014,7,420.1
Ufa,2014,7,308.31
Khabarovsk (MVL),2014,7,8.26
Khabarovsk (New),2014,7,2066.72
Khanty-Mansiysk,2014,7,67.55
Khatanga,2014,7,126.71
Chelyabinsk (Balandino),2014,7,222.21
Reads (tub),2014,7,252.05
Yuzhno-(Khomutovo),2014,7,970.9
Yakutsk,2014,7,1199.87
Yamburg,2014,7,4.04
Yaroslavl (Tunoshna),2014,7,425.2
Abakan,2013,7,65.95
Anapa (Vitjazevo),2013,7,75.78
Arkhangelsk (Talagy),2013,7,184.6
Astrakhan (Narimanovo),2013,7,80.83
Novy Urengoy,2013,7,44.1
Blagoveshchensk,2013,7,185.9
Bugulma,2013,7,4.77
Vladivostok (Knevichi),2013,7,2415.9
Volgograd (Gumrak),2013,7,67.0
Vorkuta,2013,7,92.52
Voronezh (Chertovitskoe),2013,7,8.42
Ekaterinburg (Koltsovo),2013,7,1937.13
Ivanovo (Yuzhny),2013,7,37.35
Irkutsk,2013,7,888.1
Kazan,2013,7,294.95
Kemerovo,2013,7,309.88
Kogalym,2013,7,21.2
Komsomolsk-on-Amur,2013,7,104.36
Krasnodar (Paszkowski),2013,7,591.91
Krasnoyarsk (Emelyanovo),2013,7,913.67
red,2013,7,28.92
Zabaykalsk,2013,7,151.85
Magadan (Falcon),2013,7,869.0
Mineral water,2013,7,129.0
Peaceful,2013,7,980.86
Moscow (Vnukovo),2013,7,2908.36
Moscow (Domodedovo),2013,7,14782.9
Moscow (Sheremetyevo),2013,7,18822.3
Murmansk,2013,7,125.0
Nadym,2013,7,37.37
Nizhnevartovsk,2013,7,477.4
Nizhny Novgorod (Strigino),2013,7,100.97
Nikolaevsk-on-Amur,2013,7,6.21
Novokuznetsk,2013,7,99.0
Novosibirsk (Tolmachyovo),2013,7,2323.1
New Urengoy,2013,7,296.4
Norilsk,2013,7,1144.78
Noyabrsk,2013,7,54.82
Omsk (central),2013,7,257.0
Orenburg (central),2013,7,96.28
Perm (Bolshoye Savino),2013,7,193.95
Petropavlovsk (Yelizovo),2013,7,1360.2
Polar,2013,7,31.67
Rostov-on-Don,2013,7,517.7
Saint Petersburg (Pulkovo),2013,7,2227.0
Saratov (central),2013,7,60.3
Sochi,2013,7,273.0
Stavropol (Shpakovskoye),2013,7,85.0
Surgut,2013,7,365.4
Syktyvkar,2013,7,85.52
Tiksi,2013,7,6.8
Tomsk (Bogashevo),2013,7,145.0
Tyumen (Roschino),2013,7,426.3
Ufa,2013,7,305.47
Khabarovsk (MVL),2013,7,5.23
Khabarovsk (New),2013,7,2024.77
Khanty-Mansiysk,2013,7,66.13
Khatanga,2013,7,80.99
Chelyabinsk (Balandino),2013,7,238.33
Reads (tub),2013,7,181.53
Yuzhno-(Khomutovo),2013,7,1067.3
Yakutsk,2013,7,1124.62
Yamburg,2013,7,7.03
Yaroslavl (Tunoshna),2013,7,360.7
Abakan,2012,7,64.47
Anapa (Vitjazevo),2012,7,99.53
Arkhangelsk (Talagy),2012,7,234.9
Astrakhan (Narimanovo),2012,7,75.88
Novy Urengoy,2012,7,36.1
Blagoveshchensk,2012,7,189.0
Bugulma,2012,7,4.51
Vladivostok (Knevichi),2012,7,2508.1
Volgograd (Gumrak),2012,7,59.0
Vorkuta,2012,7,60.49
Voronezh (Chertovitskoe),2012,7,16.78
Ekaterinburg (Koltsovo),2012,7,1971.64
Ivanovo (Yuzhny),2012,7,54.0
Irkutsk,2012,7,878.97
Kazan,2012,7,504.02
Kemerovo,2012,7,310.66
Kogalym,2012,7,63.7
Komsomolsk-on-Amur,2012,7,150.58
Krasnodar (Paszkowski),2012,7,757.11
Krasnoyarsk (Emelyanovo),2012,7,1397.73
red,2012,7,18.31
Zabaykalsk,2012,7,116.15
Magadan (Falcon),2012,7,736.0
Mineral water,2012,7,125.23
Peaceful,2012,7,1071.75
Moscow (Vnukovo),2012,7,2921.44
Moscow (Domodedovo),2012,7,14173.25
Moscow (Sheremetyevo),2012,7,23270.0
Murmansk,2012,7,110.6
Nadym,2012,7,47.09
Nizhnevartovsk,2012,7,432.0
Nizhny Novgorod (Strigino),2012,7,75.85
Nikolaevsk-on-Amur,2012,7,9.26
Novokuznetsk,2012,7,80.0
Novosibirsk (Tolmachyovo),2012,7,2298.3
New Urengoy,2012,7,223.4
Norilsk,2012,7,1105.05
Noyabrsk,2012,7,52.34
Omsk (central),2012,7,248.0
Orenburg (central),2012,7,99.96
Perm (Bolshoye Savino),2012,7,201.16
Petropavlovsk (Yelizovo),2012,7,1023.58
Polar,2012,7,51.48
Rostov-on-Don,2012,7,427.2
Saint Petersburg (Pulkovo),2012,7,2134.0
Saratov (central),2012,7,44.6
Sochi,2012,7,242.0
Stavropol (Shpakovskoye),2012,7,78.0
Surgut,2012,7,346.6
Syktyvkar,2012,7,67.37
Tiksi,2012,7,14.3
Tomsk (Bogashevo),2012,7,129.0
Tyumen (Roschino),2012,7,451.0
Ufa,2012,7,255.25
Khabarovsk (MVL),2012,7,2.8
Khabarovsk (New),2012,7,1782.64
Khanty-Mansiysk,2012,7,70.63
Khatanga,2012,7,133.26
Chelyabinsk (Balandino),2012,7,238.62
Reads (tub),2012,7,153.72
Yuzhno-(Khomutovo),2012,7,1389.2
Yakutsk,2012,7,1094.29
Yamburg,2012,7,5.22
Yaroslavl (Tunoshna),2012,7,319.8
Abakan,2011,7,81.3
Anapa (Vitjazevo),2011,7,65.82
Arkhangelsk (Talagy),2011,7,172.8
Astrakhan (Narimanovo),2011,7,63.03
Novy Urengoy,2011,7,35.3
Blagoveshchensk,2011,7,131.9
Bugulma,2011,7,6.17
Vladivostok (Knevichi),2011,7,3076.1
Volgograd (Gumrak),2011,7,65.0
Vorkuta,2011,7,51.21
Voronezh (Chertovitskoe),2011,7,22.94
Ekaterinburg (Koltsovo),2011,7,1959.98
Ivanovo (Yuzhny),2011,7,113.0
Irkutsk,2011,7,1070.79
Kazan,2011,7,482.72
Kemerovo,2011,7,326.85
Kogalym,2011,7,18.2
Komsomolsk-on-Amur,2011,7,107.12
Krasnodar (Paszkowski),2011,7,722.73
Krasnoyarsk (Emelyanovo),2011,7,1255.7
red,2011,7,11.93
Zabaykalsk,2011,7,27.0
Magadan (Falcon),2011,7,648.0
Mineral water,2011,7,125.0
Peaceful,2011,7,982.4
Moscow (Vnukovo),2011,7,3361.65
Moscow (Domodedovo),2011,7,14057.71
Moscow (Sheremetyevo),2011,7,25798.4
Murmansk,2011,7,105.3
Nadym,2011,7,58.99
Nizhnevartovsk,2011,7,279.2
Nizhny Novgorod (Strigino),2011,7,92.64
Nikolaevsk-on-Amur,2011,7,15.92
Novokuznetsk,2011,7,88.0
Novosibirsk (Tolmachyovo),2011,7,1506.5
New Urengoy,2011,7,203.2
Norilsk,2011,7,1128.97
Noyabrsk,2011,7,53.1
Omsk (central),2011,7,244.0
Orenburg (central),2011,7,74.84
Perm (Bolshoye Savino),2011,7,194.45
Petropavlovsk (Yelizovo),2011,7,1356.57
Polar,2011,7,37.0
Rostov-on-Don,2011,7,448.6
Saint Petersburg (Pulkovo),2011,7,2080.0
Saratov (central),2011,7,47.3
Sochi,2011,7,284.0
Stavropol (Shpakovskoye),2011,7,71.0
Surgut,2011,7,361.6
Syktyvkar,2011,7,87.08
Tiksi,2011,7,52.4
Tomsk (Bogashevo),2011,7,133.0
Tyumen (Roschino),2011,7,408.6
Ufa,2011,7,281.75
Khabarovsk (MVL),2011,7,9.38
Khabarovsk (New),2011,7,1960.48
Khanty-Mansiysk,2011,7,56.0
Khatanga,2011,7,129.91
Chelyabinsk (Balandino),2011,7,302.39
Reads (tub),2011,7,132.6
Yuzhno-(Khomutovo),2011,7,1337.7
Yakutsk,2011,7,1099.64
Yamburg,2011,7,5.39
Yaroslavl (Tunoshna),2011,7,1037.43
Abakan,2010,7,87.7
Anapa (Vitjazevo),2010,7,89.76
Arkhangelsk (Talagy),2010,7,263.4
Astrakhan (Narimanovo),2010,7,68.19
Novy Urengoy,2010,7,49.1
Blagoveshchensk,2010,7,111.1
Bugulma,2010,7,3.2
Vladivostok (Knevichi),2010,7,1853.2
Volgograd (Gumrak),2010,7,53.0
Vorkuta,2010,7,74.95
Voronezh (Chertovitskoe),2010,7,17.51
Ekaterinburg (Koltsovo),2010,7,1770.17
Ivanovo (Yuzhny),2010,7,46.06
Irkutsk,2010,7,912.94
Kazan,2010,7,218.34
Kemerovo,2010,7,447.57
Kogalym,2010,7,7.5
Komsomolsk-on-Amur,2010,7,61.47
Krasnodar (Paszkowski),2010,7,687.0
Krasnoyarsk (Emelyanovo),2010,7,1052.43
red,2010,7,2.45
Zabaykalsk,2010,7,47.5
Magadan (Falcon),2010,7,485.0
Mineral water,2010,7,150.0
Peaceful,2010,7,897.4
Moscow (Vnukovo),2010,7,3177.19
Moscow (Domodedovo),2010,7,11216.16
Moscow (Sheremetyevo),2010,7,15185.2
Murmansk,2010,7,87.8
Nadym,2010,7,49.32
Nizhnevartovsk,2010,7,628.7
Nizhny Novgorod (Strigino),2010,7,59.97
Nikolaevsk-on-Amur,2010,7,38.03
Novokuznetsk,2010,7,113.0
Novosibirsk (Tolmachyovo),2010,7,1523.8
New Urengoy,2010,7,192.3
Norilsk,2010,7,1134.69
Noyabrsk,2010,7,57.5
Omsk (central),2010,7,250.0
Orenburg (central),2010,7,56.81
Perm (Bolshoye Savino),2010,7,167.79
Petropavlovsk (Yelizovo),2010,7,1229.08
Polar,2010,7,140.7
Rostov-on-Don,2010,7,397.1
Saint Petersburg (Pulkovo),2010,7,1781.0
Saratov (central),2010,7,46.0
Sochi,2010,7,223.0
Stavropol (Shpakovskoye),2010,7,0.0
Surgut,2010,7,336.1
Syktyvkar,2010,7,56.1
Tiksi,2010,7,18.7
Tomsk (Bogashevo),2010,7,127.0
Tyumen (Roschino),2010,7,405.9
Ufa,2010,7,261.13
Khabarovsk (MVL),2010,7,11.49
Khabarovsk (New),2010,7,1712.64
Khanty-Mansiysk,2010,7,50.59
Khatanga,2010,7,249.22
Chelyabinsk (Balandino),2010,7,199.66
Reads (tub),2010,7,105.52
Yuzhno-(Khomutovo),2010,7,1172.7
Yakutsk,2010,7,968.6
Yamburg,2010,7,3.68
Yaroslavl (Tunoshna),2010,7,289.2
Abakan,2009,7,83.9
Anapa (Vitjazevo),2009,7,67.72
Arkhangelsk (Talagy),2009,7,205.8
Astrakhan (Narimanovo),2009,7,33.85
Novy Urengoy,2009,7,80.9
Blagoveshchensk,2009,7,118.7
Bugulma,2009,7,1.41
Vladivostok (Knevichi),2009,7,1210.7
Volgograd (Gumrak),2009,7,60.0
Vorkuta,2009,7,53.49
Voronezh (Chertovitskoe),2009,7,18.28
Ekaterinburg (Koltsovo),2009,7,1063.11
Irkutsk,2009,7,688.7
Kazan,2009,7,294.06
Kemerovo,2009,7,335.42
Kogalym,2009,7,39.1
Komsomolsk-on-Amur,2009,7,48.8
Krasnodar (Paszkowski),2009,7,567.0
Krasnoyarsk (Emelyanovo),2009,7,938.1
red,2009,7,2.39
Zabaykalsk,2009,7,39.5
Magadan (Falcon),2009,7,383.0
Mineral water,2009,7,130.0
Peaceful,2009,7,1894.8
Moscow (Vnukovo),2009,7,2409.62
Moscow (Domodedovo),2009,7,9194.85
Moscow (Sheremetyevo),2009,7,12370.2
Murmansk,2009,7,125.0
Nadym,2009,7,57.48
Nizhnevartovsk,2009,7,583.4
Nizhny Novgorod (Strigino),2009,7,40.75
Nikolaevsk-on-Amur,2009,7,44.1
Novokuznetsk,2009,7,51.0
Novosibirsk (Tolmachyovo),2009,7,1246.0
New Urengoy,2009,7,190.2
Norilsk,2009,7,975.97
Noyabrsk,2009,7,56.8
Omsk (central),2009,7,221.0
Orenburg (central),2009,7,72.12
Perm (Bolshoye Savino),2009,7,180.06
Petropavlovsk (Yelizovo),2009,7,794.91
Polar,2009,7,147.2
Rostov-on-Don,2009,7,447.5
Saint Petersburg (Pulkovo),2009,7,1509.0
Saratov (central),2009,7,42.0
Sochi,2009,7,255.0
Stavropol (Shpakovskoye),2009,7,62.0
Surgut,2009,7,319.4
Syktyvkar,2009,7,51.85
Tiksi,2009,7,12.0
Tomsk (Bogashevo),2009,7,106.0
Tyumen (Roschino),2009,7,286.6
Ufa,2009,7,207.13
Khabarovsk (MVL),2009,7,17.66
Khabarovsk (New),2009,7,1174.92
Khanty-Mansiysk,2009,7,46.29
Khatanga,2009,7,130.26
Chelyabinsk (Balandino),2009,7,177.27
Reads (tub),2009,7,78.0
Yuzhno-(Khomutovo),2009,7,947.1
Yakutsk,2009,7,801.6
Yamburg,2009,7,8.58
Yaroslavl (Tunoshna),2009,7,344.1
Abakan,2008,7,88.1
Anapa (Vitjazevo),2008,7,119.32
Arkhangelsk (Talagy),2008,7,366.2
Astrakhan (Narimanovo),2008,7,36.67
Novy Urengoy,2008,7,146.0
Blagoveshchensk,2008,7,232.2
Bugulma,2008,7,3.68
Vladivostok (Knevichi),2008,7,1518.6
Volgograd (Gumrak),2008,7,97.0
Vorkuta,2008,7,57.59
Voronezh (Chertovitskoe),2008,7,16.3
Ekaterinburg (Koltsovo),2008,7,1259.02
Irkutsk,2008,7,1299.0
Kazan,2008,7,188.66
Kemerovo,2008,7,128.6
Kogalym,2008,7,109.2
Komsomolsk-on-Amur,2008,7,37.2
Krasnodar (Paszkowski),2008,7,669.0
Krasnoyarsk (Emelyanovo),2008,7,1805.97
red,2008,7,20.49
Zabaykalsk,2008,7,100.43
Magadan (Falcon),2008,7,356.0
Mineral water,2008,7,175.0
Peaceful,2008,7,3899.16
Moscow (Vnukovo),2008,7,2126.73
Moscow (Domodedovo),2008,7,11231.6
Moscow (Sheremetyevo),2008,7,15111.3
Murmansk,2008,7,128.4
Nadym,2008,7,99.46
Nizhnevartovsk,2008,7,986.9
Nizhny Novgorod (Strigino),2008,7,62.37
Nikolaevsk-on-Amur,2008,7,62.92
Novokuznetsk,2008,7,96.0
Novosibirsk (Tolmachyovo),2008,7,1537.5
New Urengoy,2008,7,260.2
Norilsk,2008,7,1535.58
Noyabrsk,2008,7,105.5
Omsk (central),2008,7,296.0
Orenburg (central),2008,7,85.89
Perm (Bolshoye Savino),2008,7,188.9
Petropavlovsk (Yelizovo),2008,7,712.77
Polar,2008,7,787.9
Rostov-on-Don,2008,7,713.0
Saint Petersburg (Pulkovo),2008,7,2191.0
Saratov (central),2008,7,47.6
Sochi,2008,7,186.0
Stavropol (Shpakovskoye),2008,7,66.0
Surgut,2008,7,408.7
Syktyvkar,2008,7,74.55
Tiksi,2008,7,14.8
Tomsk (Bogashevo),2008,7,146.0
Tyumen (Roschino),2008,7,408.9
Ufa,2008,7,317.42
Khabarovsk (MVL),2008,7,16.96
Khabarovsk (New),2008,7,1146.39
Khanty-Mansiysk,2008,7,69.8
Khatanga,2008,7,262.8
Chelyabinsk (Balandino),2008,7,239.85
Reads (tub),2008,7,103.57
Yuzhno-(Khomutovo),2008,7,993.4
Yakutsk,2008,7,1145.5
Yamburg,2008,7,5.76
Yaroslavl (Tunoshna),2008,7,776.0
Abakan,2007,7,67.7
Anapa (Vitjazevo),2007,7,112.22
Arkhangelsk (Talagy),2007,7,397.4
Astrakhan (Narimanovo),2007,7,32.93
Novy Urengoy,2007,7,145.2
Blagoveshchensk,2007,7,167.1
Bugulma,2007,7,1.79
Vladivostok (Knevichi),2007,7,1400.7
Volgograd (Gumrak),2007,7,82.0
Vorkuta,2007,7,50.8
Voronezh (Chertovitskoe),2007,7,13.47
Ekaterinburg (Koltsovo),2007,7,1098.8
Irkutsk,2007,7,1458.0
Kazan,2007,7,234.47
Kemerovo,2007,7,128.5
Kogalym,2007,7,216.0
Komsomolsk-on-Amur,2007,7,9.3
Krasnodar (Paszkowski),2007,7,735.0
Krasnoyarsk (Emelyanovo),2007,7,2358.13
red,2007,7,13.62
Zabaykalsk,2007,7,113.7
Magadan (Falcon),2007,7,408.0
Mineral water,2007,7,217.0
Peaceful,2007,7,3753.5
Moscow (Vnukovo),2007,7,1587.49
Moscow (Domodedovo),2007,7,9227.72
Moscow (Sheremetyevo),2007,7,12336.5
Murmansk,2007,7,128.6
Nadym,2007,7,105.96
Nizhnevartovsk,2007,7,1182.0
Nizhny Novgorod (Strigino),2007,7,108.39
Nikolaevsk-on-Amur,2007,7,40.48
Novokuznetsk,2007,7,69.0
Novosibirsk (Tolmachyovo),2007,7,1529.19
New Urengoy,2007,7,234.7
Norilsk,2007,7,1677.14
Noyabrsk,2007,7,87.3
Omsk (central),2007,7,303.0
Orenburg (central),2007,7,80.45
Perm (Bolshoye Savino),2007,7,183.46
Petropavlovsk (Yelizovo),2007,7,747.13
Polar,2007,7,648.7
Rostov-on-Don,2007,7,576.8
